Manual,ML
32.7,30.6
15.5,13.84
12.9,11.48
19.3,25.84
7.9,9.24
0,0
37,20.44
3,0.84
17.3,18.44
40,36.64
11.4,15.28
10.9,10.12
36.6,34.64
10.7,10.12
6.6,6.92
16.7,14.4
0.9,0.92
2.2,2.48
40.1,37.6
35.8,41.12
8.5,14.92
16.7,25.04
0.8,0
0,0
21.9,19.28
11.4,11.44
2,0
37.9,46.84
15.5,45.88
15.2,89.32
18.5,63.88
8,28.28
0,6.48
36.9,26.6
3.5,34.96
17.2,5.64
55.1,51.4
32.8,35.72
16.1,14.44
35.1,41.52
47.5,52.4
14.4,9.84
25.2,26
45.5,58.32
10.5,13.28
36.7,34.68
30.2,24.04
15.8,19.96
15.7,0.44
0,0.32
26.4,21.96
25,22.24
9.2,8.56
6.5,5.92
35.4,31.8
27.6,37.68
5.6,4.8
90.9,95.56
39.2,40.28
11.1,12.56
32.2,39.96
39,43.64
13,16.04
32.9,37.96
13.7,14.04
25,28.56
15.7,15.88
35.1,39.52
1.5,1.6
26.4,30.24
3.8,0.48
10.9,10.4
30.5,24.32
12.4,8.4
10.7,7.56
42.4,46.56
10.1,8.92
6.8,6.64
8.8,1.24
7.2,2.32
0.3,1.36
22.7,16.44
4.7,1.4
2.6,1.52
0,0
0,0
29.3,61.16
34.8,48.52
38,33.16
10,6.88
16.8,9.96
24.1,16
22.4,26.52
0,0.4
47.4,51.04
13.5,12
7.8,10.28
51.8,56.6
7,7.12
14.4,9.04
5.1,0
0,0
22.7,14.84
11,11.56
0,0
9.8,2.96
4.9,2.84
0,0
55,50.16
69.9,61.2
39.4,39.92
55.5,54.68
63.3,65
71.2,81.4
33.9,42.72
34.6,67.68
17.6,24.76
39.3,38.84
50.1,50.96
62.4,56.48
24.6,51.64
20,37.16
19.4,16.28
42.8,48.04
62.1,71.2
18.8,36.56
0,0
0,0
27.6,24.04
18.7,23.32
9.1,10.28
10.9,15.08
19.2,24.04
1.7,0
17.7,24.12
19.2,14.72
2.7,3.24
0.7,0
14.6,11.44
13.4,15.4
5.6,11.8
16.7,8.56
1,0
0,0
20.2,10.8
5.2,1.56
7.4,5.44
28,17.08
7.9,3.08
17.7,10.32
11.7,2.48
1.7,0
7.7,6
29.5,28.96
25.1,26.04
8.2,9.56
35.7,36.84
0,0.6
13.8,14
21.3,24.08
6.4,6.68
1.7,1.72
