Manual,ML
23.6,19.96
3.3,0.6
4.1,5.04
35.3,41.24
9.1,13.2
4,7.08
18.2,20
12.1,15.12
10.2,11.88
19.6,31.96
4.6,5.4
8.4,15.44
31.6,33.48
22.1,28.68
19.4,30.28
25,27.92
12.5,19.4
17.2,24.44
8.7,13.92
0,0
2.9,3.92
21.3,31.48
25.4,33.96
6.1,6.68
11.5,6.2
14.3,20.8
15.4,27.56
14,18.12
11.9,14.92
1.9,1.6
24.9,29.52
17.4,17.6
17.4,16.16
8.2,11.16
3.2,2.04
1.3,0
23.5,16.6
11.6,10.88
5.7,5.52
43.4,43.36
12.7,15.04
7.3,8.8
9.3,10.96
9.1,11.2
4.6,4.24
20.5,18.72
23.5,24.08
13.1,20.6
16.1,19.08
4.5,5.84
1.8,3.04
26.5,24.24
13.4,15.04
6.3,8.4
19.2,16.44
17.3,18.44
2.6,12.88
21.1,20.08
7,8.24
1.9,1.8
12.3,13.44
0,0
0,0
19.3,20.04
3.7,3.84
0,0
0,0
14.9,13.48
0,0
5.1,6.76
3.5,4.08
0,0
24.4,27.72
19.1,15.28
24.1,29.2
15.4,15.28
6.2,7.04
1.1,1.12
27.5,29.4
4.2,5.24
4.1,6.56
28.5,32.92
11.5,12.08
3.6,7.68
14.3,14.96
1.4,1.56
0,0
14.2,17.36
0,0
0,0
43.6,45.84
38.7,35.92
0,0
0,0
0,0
0,0
12.2,9
13.1,8.76
13.9,13.52
20.8,23.28
22.1,22.52
11.6,10.8
21.4,24.76
11.1,10.6
8.1,6.84
25.8,27.2
9.5,10.12
0,0
20.2,4.36
14.9,4.24
3.1,0
26.4,5.88
19.2,19.64
19.2,16.88
30.9,29.4
10.5,10.44
0,0
53.2,44.92
26.1,27.76
36,33.16
38.5,35.08
12.3,13.92
12.8,11.92
11.6,12.68
10,8.64
10.9,8.72
27.7,31
14.3,15.12
4.2,1.44
45.5,49.88
19.9,18.04
40.9,34.84
23.5,25.92
27.4,24.92
15.9,18.36
0,0
0,0
17.5,20.64
18.8,19.36
4.4,4.72
1.1,1.4
4.7,5.36
0,0.56
0,0
29.4,25.16
4.2,3.76
4.7,2
5.8,4.88
13,13.76
0,0
9,7.72
0,0
0,0
28.8,23.6
28.6,23.72
10.2,10.08
18.8,19.04
26.6,27.48
16,17.72
16.7,17.8
0,0
0.8,0.64
33.4,31.04
8.6,8.84
3.3,0.48
3.7,0.52
0,0
0,0
17.5,17.24
0,0
0,0
26.3,20.24
3.8,4.6
7.2,15.6
7.2,60.92
5.2,4.8
0.6,1.48
19.1,19.4
3.7,3
0.5,0
20.4,18.36
35.1,39.64
14.9,9.32
14.2,13.48
14.5,14.36
10.1,12.32
13.8,12.92
2.8,5.96
3.8,5.84
6.7,8.8
0,0
0,0
38.1,37.92
0.2,0
18,17.36
0,0
10.5,12.36
15.5,12.76
14.4,9.84
3,2.76
2.4,1.96
22.5,17.4
15.6,12.72
9.8,3.84
44,37.8
20.2,21.44
8.1,7.44
12.9,11.04
18.3,20.2
1.9,0.56
15.1,14.24
13.9,13.76
0.5,0
25.4,25.76
21.5,17.4
11.5,5.92
28.1,34.76
7.3,6.04
5.3,5.4
8.7,8.84
2,2.08
0,0
22.1,24.56
2.5,2.2
0,0
29.4,25.04
9.3,7.56
2.3,2.72
7.5,6.6
2.1,0.24
3.5,1.68
31.6,35.36
13.6,11.96
13.5,14.52
22.3,23.76
8.1,9.52
10.3,8.44
14.8,16.92
0,0
7.4,5.52
10.4,7.2
4,4.76
2,1.92
33.2,26.64
17.7,11.6
14,11.44
12.5,10.32
9.2,9.68
5.3,5.68
12,10.28
9.2,9.32
8.3,5
