Scorer1,Scorer2
24,14.8
4.2,5.5
15.6,12.7
4.7,5.1
1.6,1.6
0,0
4.5,4.6
5.2,6.2
1.6,2.6
61.8,57
13.6,13.8
7.7,7.3
17.6,15.3
12.8,13
14,12.1
3.2,4.1
7.1,7.1
8,6.1
15.5,17.8
3.4,5.1
0,0
11.6,9.4
9.7,9.6
30.9,29.9
13.2,11.4
0,0
0,0
22.4,20.9
16.4,14.8
3.4,3.3
31.7,31.8
3,5.1
0,0
0,0.7
0,0
0,0
22.3,19.3
3.8,3.7
0,0
0,0
15.7,14.9
0,0
5.5,5.1
2.8,3.5
0,0
0,0
0,0
20.1,17.5
19.4,18.8
4.8,4.4
1.2,1.1
5.2,4.7
0,0
0,0
5.5,6.7
0,0
0,0
44.1,38.1
0,0.2
17.2,18
0,0
10.8,10.5
11.3,15.5
11.5,11.2
22.4,22.9
17.7,15.7
22,21.4
5.3,7.1
0.4,0.7
29.1,22.7
0,2
4.5,5.3
48.2,41.8
21.3,15.1
7.4,6.2
11.8,8.5
4.3,4
0,0
21.9,17
8.3,7.6
4.8,6.5
16.9,17.9
26,24.9
42.9,38.9
20.8,19.2
14.5,15.4
1.7,4.3
29,22.8
32.3,29.4
22.5,25.4
40,22.7
7.3,4.7
2.8,2.6
0,0
0,0
54.5,29.3
42.7,34.8
60.2,38
10.3,10
52.8,39.3
49.1,50.1
67.2,62.4
41.5,24.6
27,20
20.5,19.4
47,42.8
67.5,62.1
28.3,18.8
16.5,13.6
12.7,8.4
1.7,3.8
31.7,27.9
8.4,6.9
0,0.5
11.1,11.5
9.6,7.6
0,0.7
41.9,35.5
22.4,17.8
10.3,8.8
25.7,22.6
14.3,11.6
8.7,7.8
10.9,10.4
5.5,4.5
5.6,6.2
41.5,39.2
12.1,12.7
0,0.5
24.7,23.5
13.3,17.4
7.7,8.7
0.6,0.4
0,1.2
0,0
34.9,36.4
19.7,21.2
28.3,28.8
49.7,48
11.5,12.1
0.6,0.4
20.8,20
13.3,15.1
3.1,3.6
