Manual,ML
13.6,8.24
8.4,4.04
3.8,2.28
27.9,4.88
6.9,3.04
0.5,0
11.5,0.2
7.6,3.12
0.7,0
35.5,32.8
17.8,18.72
8.8,5.56
22.6,20.6
11.6,8.84
7.8,7.12
10.4,10.12
4.5,4.28
6.2,5
1.1,0
50.3,37.72
11,9.04
8.4,7.24
4.7,4.48
25.4,23.36
17.1,16.84
2.1,8.96
5.3,2.64
42.8,37.68
7.7,6.32
3.3,3.52
26.2,23.92
1.2,0
15.8,11.4
13.8,11.04
1.5,0.96
1.1,0
25.5,21
4.4,3.76
2.4,1.8
4.7,7.48
2.4,0
2.6,1.2
0.7,2.88
2.9,0.56
1.8,0
29.8,27.32
12,6.96
0,5.96
37.4,39.8
10.3,11.16
3.4,3.36
0,0
0,0
34.5,37.04
38.8,41.68
21.8,19.4
58.3,42.76
21.3,11.64
19.8,0.84
7.9,0.76
40.7,0.64
35.1,0.64
46.8,0.68
24.5,20.8
8.6,4.88
1.6,1.12
6,2.04
0.6,0
1.2,2.48
8.7,4.56
3.9,2.36
0,0
32,34.6
16.4,20.44
11.2,12.84
13.5,16.8
1.9,1.96
0,0
29.3,34.12
16.5,17.36
14.1,14.4
36.4,38.36
21.2,24.28
28.8,27.88
48,47.36
12.1,15.8
0.4,0
20,20.92
15.1,15.32
3.6,3.76
17.6,16.76
5.5,1.76
7.4,7
56.5,54.48
2.9,4.28
10.5,17.64
43.4,39.08
11.1,10.76
8.1,7.88
11.1,6.32
3.9,1.56
4,2.2
38.4,32.32
9.3,6.76
4.3,0.88
41.2,31.4
15,11.12
2.6,4.48
15.7,10.72
13.2,10.84
2.2,2.64
42.4,45.2
12.2,9.2
7.8,5.12
19.5,22.64
26.8,23.28
4.8,4
23.6,16.36
13.7,2.68
8.9,7.16
45.1,43.92
76.9,80.88
19.4,20.36
56.6,53.4
25.8,20.92
56.5,15.92
27.7,17.16
12.1,14.64
0,0
70.5,71.92
51.5,51.64
4.1,1.4
38.2,40.12
9.9,8.28
38.6,36.88
39.2,34.36
12.7,10.44
0.5,0
23.5,22.48
17.4,8.04
8.7,7.68
0.4,0
1.2,0.2
0,0
44.1,46.08
28.9,30.04
13.4,13.64
41.2,48.96
53.5,65.4
29.3,24.32
23.3,22.4
5.8,7.32
2.4,1.8
31.8,22.32
21.5,18.48
11.4,9.92
34.5,32.72
8.8,5.04
0,0
9,6.96
0,0
0,0
37.7,28.48
61.1,60.28
34.8,31.08
90,77.08
96,83.88
79.1,66.72
18.3,12.92
8.4,4.96
2.8,1.28
39.4,2.96
69.1,1.84
11.3,2.96
45,13.24
15.8,10.24
0,0
12.9,3.48
12.3,1.08
9.6,0.84
