Manual,ML
7.5,7.52
21.3,25.4
1.1,0.56
4,4.72
0,0
0,0
19.4,16.72
11.8,17.6
0,0.24
25.7,26.88
9.6,11.64
2.3,0.76
4.8,6.4
6.7,1.04
1.6,5.56
19.4,22.6
0.3,0
0,0
14.8,19.64
5.5,4.36
12.7,19.08
5.1,4.68
1.6,0
0,0.24
4.6,4.2
6.2,7.08
2.6,3.84
19,22.68
5.3,5.24
1.2,1.6
19.7,10.56
2.5,1.96
5.5,6.72
9.4,10
3.4,5.28
0.7,0.92
57,56.08
13.8,14.2
7.3,2.28
15.3,12.36
13,10.68
12.1,13.2
4.1,3.16
7.1,7.04
6.1,3.12
29.2,33.52
19.3,21.92
27.1,28.08
19.5,20.2
7,7.32
0,0
9,9.4
0,0
0,0
23.1,22.52
29.9,28.04
12.4,31.6
24.9,23.36
40.3,45.64
20.1,14.2
18.6,30.52
7.3,8.24
0,0
13.7,4.6
0.3,0.2
0,0
29.2,32.08
23.6,24.72
4.5,5.56
0,0
0,0
0,0
4.9,3.72
0,0
18,24.24
47.8,47.92
12.9,14.08
7.8,8.24
9,9.88
6.3,6.48
0,0
32.5,22.48
28.7,29.88
27,47.76
10.2,7.52
11.4,5.96
0,2.28
12.3,11.84
0,0
0,0
21.7,26.32
10.3,11.16
17.8,42.72
10,3.96
0.2,0
0,0
12.9,35.28
15,1.8
0,0
17.8,18.36
5.1,4.32
0,0
9.4,24.4
9.6,52.96
29.9,37.88
11.4,10.56
0,0
0,0
33.9,36.76
47.7,44.2
24.2,32.92
28.4,35.88
30.1,28
5,6.28
65.5,57.24
33.6,29.68
29.8,27.92
46.3,43.64
35.3,33.96
5.4,7.16
13.1,12.24
5,6.56
8.7,10.12
30.4,38.72
15.9,19.76
8.6,10.28
23.2,18.36
18.4,22.12
12.1,7.84
27.1,31.6
9.5,8
4.4,4.72
31.1,30.32
18.5,19.68
11.3,10.72
15.8,16.24
18.4,18.48
7.7,19.84
20.4,23.52
16.9,13.36
21.6,35.52
31.1,34.08
4,7.8
4.9,10.2
20.5,18.88
3.7,7.96
19,23.56
19.6,20.12
13.1,11.6
2.4,1.72
1.9,3.52
5.6,9.16
4.3,3.4
32.9,30.84
11.3,12.92
11.7,25.48
23.9,20.84
10.2,9.32
33.2,47.76
32.5,37.64
8.4,9.08
4,5.44
19.5,48.64
0,0
0,0
0,0
0,0
0,0.96
0,0
0,0
0,0
0,0
0,0
0,0
19.6,27.44
0,0.32
4,2.28
17.7,16.44
5.4,7.28
3.1,4.56
8.7,10.6
0,0
7.6,5.44
42.4,45.2
0,0
6,6.8
29.2,29.68
0,0
0,0
11.2,10.36
22.9,17.32
15.7,15.08
21.4,21.64
7.1,8.12
0.7,2.04
22.7,15.96
2,0.4
5.3,6.16
20,27.16
9.5,11.72
0.8,0.28
45.8,41.2
33.8,43.2
11.9,17.96
7.1,9.6
0.4,0.28
1.4,0.28
33.7,28.88
10.7,10.96
12.9,11.36
14.5,17.56
8,6.12
1.2,0.48
21.1,15.08
0.3,0
0,0
32.7,29
25,25.88
4.6,1.96
15.2,7.08
1.8,0.32
0,0
0,0
0,0
0,0
38,35.92
22.2,17.44
4.7,3.84
17.3,18.28
0,0
0,0
23.1,21.52
6.1,3.68
0,0
46.5,44.08
78.9,81.08
74.7,71.12
40.1,36.8
31.6,34.72
4.3,5.08
70.8,72.24
46.3,49.16
7.5,7.52
13.4,12.24
8.5,4.84
13.6,12.76
19.2,13.56
16.3,10.76
16.1,9.28
23,31.56
19.3,28.8
33,32.16
2.5,2.52
14.5,13.84
6,12.84
2.6,1.92
2.9,4.52
3,4.52
17.1,18.24
3.1,4.68
4.6,5.56
16,10.6
17.8,15.32
1.1,0.2
58.7,42.36
22,14.16
6.9,7
12,6.16
4.1,1.96
6.1,5.48
16.2,11.08
1.4,1.96
4,3.36
18.2,14.64
1.7,0
8.4,9.4
4.1,3.96
0,0
0,0
