Odour_presentation,Duration_sniffing,Source,Odour_type_presentation,Video_id,Genotype,Sex,Age,Filtered,Status
Odour1.1,14,Manual,Familiar1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour1.2,11.9,Manual,Familiar2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour1.3,1.9,Manual,Familiar3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.1,24.9,Manual,Novel1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.2,17.4,Manual,Novel2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour2.3,17.4,Manual,Novel3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,1
Odour3.1,8.2,Manual,Water1,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,0
Odour3.2,3.2,Manual,Water2,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,0
Odour3.3,1.3,Manual,Water3,1640082510404_000000_20211221FNWC9ORF41a,4,Female,15,No,0
Odour1.1,23.5,Manual,Novel1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour1.2,11.6,Manual,Novel2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour1.3,5.7,Manual,Novel3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.1,43.4,Manual,Familiar1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.2,12.7,Manual,Familiar2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour2.3,7.3,Manual,Familiar3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,1
Odour3.1,9.3,Manual,Water1,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,0
Odour3.2,9.1,Manual,Water2,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,0
Odour3.3,4.6,Manual,Water3,1640087167661_000000_20211221NFWC9ORF22g,4,Male,15,No,0
Odour1.1,20.5,Manual,Novel1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour1.2,23.5,Manual,Novel2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour1.3,13.1,Manual,Novel3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.1,16.1,Manual,Familiar1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.2,4.5,Manual,Familiar2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour2.3,1.8,Manual,Familiar3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.1,26.5,Manual,Water1,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.2,13.4,Manual,Water2,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
Odour3.3,6.3,Manual,Water3,1640087194969_000000_20211221NFWC9ORF22i,4,Male,15,No,1
