Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour1.1,7.5,Novel1,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour1.2,21.3,Novel2,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour1.3,1.1,Novel3,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour2.1,4,Familiar1,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour2.2,0,Familiar2,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour2.3,0,Familiar3,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,0
Odour3.1,19.4,Water1,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,1
Odour3.2,11.8,Water2,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,1
Odour3.3,0,Water3,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,15,No,1
Odour1.1,25.7,Familiar1,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour1.2,9.6,Familiar2,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour1.3,2.3,Familiar3,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour2.1,4.8,Novel1,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,0
Odour2.2,6.7,Novel2,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,0
Odour2.3,1.6,Novel3,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,0
Odour3.1,19.4,Water1,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour3.2,0.3,Water2,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour3.3,0,Water3,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,15,No,1
Odour1.1,14.8,Novel1,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,1
Odour1.2,5.5,Novel2,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,1
Odour1.3,12.7,Novel3,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,1
Odour2.1,5.1,Familiar1,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour2.2,1.6,Familiar2,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour2.3,0,Familiar3,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour3.1,4.6,Water1,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour3.2,6.2,Water2,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour3.3,2.6,Water3,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,15,No,0
Odour1.1,19,Novel1,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,15,No,1
Odour1.2,5.3,Novel2,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,15,No,1
