Odour_presentation,Duration_sniffing,Odour_type_presentation,mouse_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour1.1,32.7,Novel1,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour1.1,4,Novel1,Novel,1
Odour1.2,15.5,Novel2,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour1.2,4,Novel2,Novel,2
Odour1.3,12.9,Novel3,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour1.3,4,Novel3,Novel,3
Odour2.1,19.3,Water1,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour2.1,4,Water1,Water,1
Odour2.2,7.9,Water2,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour2.2,4,Water2,Water,2
Odour2.3,0,Water3,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour2.3,4,Water3,Water,3
Odour3.1,37,Familiar1,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour3.1,4,Familiar1,Familiar,1
Odour3.2,3,Familiar2,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour3.2,4,Familiar2,Familiar,2
Odour3.3,17.3,Familiar3,1671611841850_000000_20221221NWFC9ORF31c,Manual,4,Female,Odour3.3,4,Familiar3,Familiar,3
Odour1.1,40,Novel1,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour1.1,2,Novel1,Novel,1
Odour1.2,11.4,Novel2,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour1.2,2,Novel2,Novel,2
Odour1.3,10.9,Novel3,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour1.3,2,Novel3,Novel,3
Odour2.1,36.6,Familiar1,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour2.1,2,Familiar1,Familiar,1
Odour2.2,10.7,Familiar2,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour2.2,2,Familiar2,Familiar,2
Odour2.3,6.6,Familiar3,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour2.3,2,Familiar3,Familiar,3
Odour3.1,16.7,Water1,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour3.1,2,Water1,Water,1
Odour3.2,0.9,Water2,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour3.2,2,Water2,Water,2
Odour3.3,2.2,Water3,1671614382683_000000_20221221NFWC9ORF31d,Manual,2,Female,Odour3.3,2,Water3,Water,3
