Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Odour_presentationordered,Genotypeordered,Odour_type_presentationordered,group,suffix
Odour3.1,19.4,Water1,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,Odour3.1,G,Water1,Water,1
Odour3.2,11.8,Water2,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,Odour3.2,G,Water2,Water,2
Odour3.3,0,Water3,1639648004702_000000_20211216NFWTDP4311a,Manual,G,Female,Odour3.3,G,Water3,Water,3
Odour1.1,25.7,Familiar1,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour1.1,H,Familiar1,Familiar,1
Odour1.2,9.6,Familiar2,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour1.2,H,Familiar2,Familiar,2
Odour1.3,2.3,Familiar3,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour1.3,H,Familiar3,Familiar,3
Odour3.1,19.4,Water1,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour3.1,H,Water1,Water,1
Odour3.2,0.3,Water2,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour3.2,H,Water2,Water,2
Odour3.3,0,Water3,1639654701381_000000_20211216FNWTDP4321b,Manual,H,Female,Odour3.3,H,Water3,Water,3
Odour1.1,14.8,Novel1,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,5.5,Novel2,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,12.7,Novel3,1639654878289_000000_20211216NFWTDP4322d,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour1.1,19,Novel1,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,5.3,Novel2,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,1.2,Novel3,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,19.7,Familiar1,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
Odour2.2,2.5,Familiar2,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour2.2,H,Familiar2,Familiar,2
Odour2.3,5.5,Familiar3,1639654911074_000000_20211216NFWTDP4332a,Manual,H,Female,Odour2.3,H,Familiar3,Familiar,3
Odour1.1,57,Novel1,1639654945839_000000_20211216NFWTDP4361c,Manual,H,Female,Odour1.1,H,Novel1,Novel,1
Odour1.2,13.8,Novel2,1639654945839_000000_20211216NFWTDP4361c,Manual,H,Female,Odour1.2,H,Novel2,Novel,2
Odour1.3,7.3,Novel3,1639654945839_000000_20211216NFWTDP4361c,Manual,H,Female,Odour1.3,H,Novel3,Novel,3
Odour2.1,15.3,Familiar1,1639654945839_000000_20211216NFWTDP4361c,Manual,H,Female,Odour2.1,H,Familiar1,Familiar,1
