FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
copper Animal_1 front_neck distance,0.03474175867176139,0.05410473751139652
copper Animal_1 front distance,0.03237413935556914,0.05081760375657595
copper Animal_1 facing,0.029090817769949654,0.06064729657267856
copper Animal_1 back_neck distance,0.027636657579238555,0.04878988643665513
Mean_probabilities,0.026722812398769565,0.048453943172308146
Sum_probabilities,0.02643041844889802,0.04640841911519544
copper Animal_1 nose distance,0.024154158393630477,0.04026638529886355
hopper Animal_1 front_neck distance,0.021671841526983746,0.041959561735466167
Low_prob_detections_0.5,0.020094208224273918,0.044544066548962556
hopper Animal_1 nose distance,0.018495616499333695,0.034377764658915275
Low_prob_detections_0.75,0.018131413293120634,0.04122348338761074
hopper Animal_1 front distance,0.01777414204316626,0.034075684211795125
copper Animal_1 base_tail distance,0.017594399339794037,0.03494131711023911
copper Animal_1 ear_left distance,0.017463436784589715,0.03426559069399225
Low_prob_detections_0.1,0.017366302255929205,0.03974910951353283
copper Animal_1 abdomen distance,0.01568388844985654,0.02562876468858895
hopper Animal_1 base_tail distance,0.01488803516736166,0.031545810568938674
hopper Animal_1 nose in zone,0.01386090602051759,0.03422799971579771
hopper Animal_1 front in zone,0.012947792746837496,0.029076527042088778
hopper Animal_1 facing,0.011865087875054373,0.032127925253651164
hopper Animal_1 ear_left distance,0.01064602061901749,0.020030560819421197
copper Animal_1 ear_right distance,0.009827395221789803,0.019898817822664727
copper Animal_1 back distance,0.00940705636395376,0.016003148078563432
Mean_All_bp_movements_Animal_1_mean_15,0.009313482117855298,0.004987675749974198
Sum_All_bp_movements_Animal_1_mean_15,0.009279678078009229,0.0046077184784550996
hopper Animal_1 back_neck distance,0.008959155025045913,0.016420954309655903
hopper Animal_1 ear_right distance,0.008881150255591937,0.015650721553706882
hopper Animal_1 abdomen distance,0.008149591037218854,0.014303220894867134
hopper Animal_1 back distance,0.00768726169354838,0.010646685935108958
copper Animal_1 back2 distance,0.007062255108297465,0.008165415609476902
hopper Animal_1 back2 distance,0.006876840945326002,0.010665517531654439
All_bp_movements_Animal_1_sum,0.006681840428723312,0.021718981729634764
All_bp_movements_Animal_1_max,0.006301993837002749,0.021202130304243345
Angle (degrees) nose-back-base_tail,0.006237401282303772,0.016524851493778477
Angle (degrees) ear_right-back2-abdomen,0.005738471061915404,0.01455961637241279
Angle (degrees) nose-abdomen-base_tail,0.005704839240926614,0.013727738863284404
All_bp_movements_Animal_1_mean,0.005360093308367513,0.01853225884997179
Angle (degrees) nose-back2-base_tail,0.005140710196652045,0.010513638950632148
Angle (degrees) ear_left-front_neck-abdomen,0.00506410510185287,0.012762643376576021
Sum_All_bp_movements_Animal_1_mean_7.5,0.005013141872505389,0.0023971841461204683
