FEATURE,FEATURE_IMPORTANCE_MEAN,FEATURE_IMPORTANCE_STDEV
copper Animal_1 front_neck distance,0.035225905881149024,0.05543823089082905
copper Animal_1 front distance,0.031256069007453986,0.04926172579558892
copper Animal_1 facing,0.02858078349353221,0.06006441358423292
Sum_probabilities,0.02682668411273915,0.04666538028661857
copper Animal_1 back_neck distance,0.026584368402880233,0.047218728105809245
copper Animal_1 nose distance,0.02472124401890402,0.040988650862969864
Mean_probabilities,0.024571381464819544,0.04515801788273883
hopper Animal_1 nose distance,0.021035959387926642,0.039443815565659714
hopper Animal_1 front_neck distance,0.020080815859196587,0.03847890671703159
Low_prob_detections_0.5,0.020041406337080944,0.04442646704517952
copper Animal_1 base_tail distance,0.0186735012414677,0.03660924737256427
hopper Animal_1 front distance,0.018578414687969766,0.036482948867486424
Low_prob_detections_0.1,0.01690194726246761,0.03803709202713963
copper Animal_1 ear_left distance,0.01683726618024928,0.03233418567137482
hopper Animal_1 base_tail distance,0.015970764387398712,0.033256826643935526
Low_prob_detections_0.75,0.015716106336028726,0.037068766870525405
copper Animal_1 abdomen distance,0.01556243203818026,0.025972500650279035
hopper Animal_1 facing,0.01304473124685846,0.033794130339811664
hopper Animal_1 front in zone,0.01272444655194104,0.03052854171954999
hopper Animal_1 nose in zone,0.012547941879813358,0.032793348497461794
hopper Animal_1 ear_left distance,0.011698882942872744,0.02163162050197626
hopper Animal_1 back_neck distance,0.010267303143666659,0.01914150911272511
copper Animal_1 ear_right distance,0.010101247104646027,0.020733628663035613
Mean_All_bp_movements_Animal_1_mean_15,0.009302940793205473,0.0047585587766968
Sum_All_bp_movements_Animal_1_mean_15,0.009194038073514214,0.004963871274227585
copper Animal_1 back distance,0.009100613000074509,0.014786560562626394
hopper Animal_1 ear_right distance,0.009035023717673984,0.016759134829407597
hopper Animal_1 abdomen distance,0.00862475019725399,0.015055211432263243
hopper Animal_1 back distance,0.007211730651159639,0.009144618150255374
hopper Animal_1 back2 distance,0.007158337910863959,0.010948509635130952
