Video,Bin,Sum_Value
filtered_1639647681198_000000_20211216WFNTDP4341acropped,1,14.72
filtered_1639647681198_000000_20211216WFNTDP4341acropped,2,18.080000000000002
filtered_1639647681198_000000_20211216WFNTDP4341acropped,3,31.0
filtered_1639647681198_000000_20211216WFNTDP4341acropped,4,0.0
filtered_1639647681198_000000_20211216WFNTDP4341acropped,5,0.0
filtered_1639647681198_000000_20211216WFNTDP4341acropped,6,58.92
filtered_1639647681198_000000_20211216WFNTDP4341acropped,7,2.3200000000000003
filtered_1639647681198_000000_20211216WFNTDP4341acropped,8,11.4
filtered_1639647681198_000000_20211216WFNTDP4341acropped,9,0.0
filtered_1639648004702_000000_20211216NFWTDP4311acropped,1,7.52
filtered_1639648004702_000000_20211216NFWTDP4311acropped,2,25.4
filtered_1639648004702_000000_20211216NFWTDP4311acropped,3,0.5599999999999999
filtered_1639648004702_000000_20211216NFWTDP4311acropped,4,4.72
filtered_1639648004702_000000_20211216NFWTDP4311acropped,5,0.0
filtered_1639648004702_000000_20211216NFWTDP4311acropped,6,0.0
filtered_1639648004702_000000_20211216NFWTDP4311acropped,7,16.72
filtered_1639648004702_000000_20211216NFWTDP4311acropped,8,17.6
filtered_1639648004702_000000_20211216NFWTDP4311acropped,9,0.24
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,1,26.88
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,2,11.64
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,3,0.76
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,4,6.3999999999999995
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,5,1.04
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,6,5.5600000000000005
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,7,22.6
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,8,0.0
filtered_1639654701381_000000_20211216FNWTDP4321bcropped,9,0.0
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,1,19.64
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,2,4.36
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,3,19.08
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,4,4.68
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,5,0.0
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,6,0.24
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,7,4.2
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,8,7.08
filtered_1639654878289_000000_20211216NFWTDP4322dcropped,9,3.84
filtered_1639654911074_000000_20211216NFWTDP4332acropped,1,22.68
filtered_1639654911074_000000_20211216NFWTDP4332acropped,2,5.24
filtered_1639654911074_000000_20211216NFWTDP4332acropped,3,1.6000000000000003
filtered_1639654911074_000000_20211216NFWTDP4332acropped,4,10.56
filtered_1639654911074_000000_20211216NFWTDP4332acropped,5,1.96
filtered_1639654911074_000000_20211216NFWTDP4332acropped,6,6.720000000000001
filtered_1639654911074_000000_20211216NFWTDP4332acropped,7,10.0
filtered_1639654911074_000000_20211216NFWTDP4332acropped,8,5.279999999999999
filtered_1639654911074_000000_20211216NFWTDP4332acropped,9,0.92
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,1,56.08
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,2,14.2
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,3,2.2800000000000002
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,4,12.36
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,5,10.68
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,6,13.2
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,7,3.16
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,8,7.04
filtered_1639654945839_000000_20211216NFWTDP4361ccropped,9,3.12
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,1,33.52
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,2,21.92
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,3,28.08
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,4,20.200000000000003
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,5,7.32
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,6,0.0
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,7,9.399999999999999
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,8,0.0
filtered_1639657412770_000000_20211216FNWTDP4311fcropped,9,0.0
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,1,22.52
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,2,28.04
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,3,31.6
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,4,23.36
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,5,45.64
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,6,14.2
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,7,30.520000000000003
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,8,8.24
filtered_1639657513165_000000_20211216FNWTDP4361gcropped,9,0.0
filtered_1639657662975_000000_20211216WFNTDP4311icropped,1,4.6
filtered_1639657662975_000000_20211216WFNTDP4311icropped,2,0.2
filtered_1639657662975_000000_20211216WFNTDP4311icropped,3,0.0
filtered_1639657662975_000000_20211216WFNTDP4311icropped,4,32.08
filtered_1639657662975_000000_20211216WFNTDP4311icropped,5,24.72
filtered_1639657662975_000000_20211216WFNTDP4311icropped,6,5.5600000000000005
filtered_1639657662975_000000_20211216WFNTDP4311icropped,7,0.0
filtered_1639657662975_000000_20211216WFNTDP4311icropped,8,0.0
filtered_1639657662975_000000_20211216WFNTDP4311icropped,9,0.0
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,1,3.72
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,2,0.0
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,3,24.240000000000002
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,4,47.92
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,5,14.08
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,6,8.24
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,7,9.879999999999999
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,8,6.4799999999999995
filtered_1639657707616_000000_20211216WFNTDP4391hcropped,9,0.0
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,1,22.48
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,2,29.88
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,3,47.760000000000005
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,4,7.5200000000000005
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,5,5.96
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,6,2.28
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,7,11.84
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,8,0.0
filtered_1639663160017_000000_20211216NFWTDP4311hcropped,9,0.0
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,1,26.32
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,2,11.16
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,3,42.72
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,4,3.96
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,5,0.0
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,6,0.0
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,7,35.28
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,8,1.8
filtered_1639663198143_000000_20211216NFWTDP4381dcropped,9,0.0
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,1,18.36
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,2,4.32
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,3,0.0
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,4,24.4
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,5,52.959999999999994
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,6,37.88
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,7,10.56
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,8,0.0
filtered_1639663244146_000000_20211216NFWTDP4391gcropped,9,0.0
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,1,19.96
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,2,0.6
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,3,5.040000000000001
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,4,41.239999999999995
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,5,13.2
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,6,7.08
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,7,20.0
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,8,15.119999999999997
filtered_1640080226289_000000_20211221WFNC9ORF22dshortcropped,9,11.879999999999999
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,1,31.96
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,2,5.4
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,3,15.440000000000001
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,4,33.48
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,5,28.680000000000003
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,6,30.28
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,7,27.919999999999998
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,8,19.4
filtered_1640080258516_000000_20211221WFNC9ORF13ccropped,9,24.44
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,1,13.919999999999998
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,2,0.0
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,3,3.9199999999999995
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,4,31.480000000000004
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,5,33.96
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,6,6.680000000000001
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,7,6.2
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,8,20.800000000000004
filtered_1640080293769_000000_20211221WFNC9ORF31fcropped,9,27.560000000000002
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,1,18.12
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,2,14.920000000000002
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,3,1.6
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,4,29.52
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,5,17.6
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,6,16.160000000000004
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,7,11.16
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,8,2.04
filtered_1640082510404_000000_20211221FNWC9ORF41acropped,9,0.0
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,1,16.6
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,2,10.879999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,3,5.52
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,4,43.36
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,5,15.040000000000001
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,6,8.799999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,7,10.959999999999999
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,8,11.2
filtered_1640087167661_000000_20211221NFWC9ORF22gcropped,9,4.24
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,1,18.720000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,2,24.08
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,3,20.6
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,4,19.080000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,5,5.84
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,6,3.04
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,7,24.240000000000002
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,8,15.04
filtered_1640087194969_000000_20211221NFWC9ORF22icropped,9,8.4
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,1,16.44
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,2,18.44
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,3,12.879999999999999
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,4,20.08
filtered_1640089388806_000000_20211221FNWC9ORF32ecropped,5,8.24
