Behavior_Coding_Session
"S:/IoN_WisemanLab/Sevda/Odour task/Videos/TDP43/15weeks/ROI/roi_20211216NFWTDP4322a.mp4"
 Subject = 1639648207551_000000_20211216NFWTDP4322a
Date upon Generation: 	18:44:15
21/11/2023
Coding Start time:
Code,timeON,timeOFF,notes,minsOn,minsOff
Odour1.1, 132.0, 133.9, ,0:2:12,0:2:13
Odour1.1, 134.8, 136.2, ,0:2:14,0:2:16
Odour1.1, 138.0, 140.0, ,0:2:18,0:2:20
Odour1.1, 142.8, 144.8, ,0:2:22,0:2:24
Odour1.1, 146.6, 149.1, ,0:2:26,0:2:29
Odour1.1, 158.0, 160.6, ,0:2:38,0:2:40
Odour1.1, 164.2, 165.5, ,0:2:44,0:2:45
Odour1.1, 172.4, 175.6, ,0:2:52,0:2:55
Odour1.1, 177.5, 178.3, ,0:2:57,0:2:58
Odour1.1, 178.8, 179.2, ,0:2:58,0:2:59
Odour1.1, 180.0, 182.4, ,0:3:0,0:3:2
Odour1.1, 191.6, 193.4, ,0:3:11,0:3:13
Odour1.1, 199.4, 200.5, ,0:3:19,0:3:20
Odour1.1, 221.1, 223.0, ,0:3:41,0:3:43
Odour1.1, 224.9, 225.7, ,0:3:44,0:3:45
Odour1.1, 227.6, 231.0, ,0:3:47,0:3:51
Odour1.2, 357.7, 359.4, ,0:5:57,0:5:59
Odour1.2, 360.2, 361.3, ,0:6:0,0:6:1
Odour1.2, 364.2, 365.6, ,0:6:4,0:6:5
Odour1.2, 374.8, 376.0, ,0:6:14,0:6:16
Odour1.2, 383.0, 384.4, ,0:6:23,0:6:24
Odour1.2, 385.5, 386.3, ,0:6:25,0:6:26
Odour1.2, 389.4, 390.6, ,0:6:29,0:6:30
Odour1.2, 405.7, 406.2, ,0:6:45,0:6:46
Odour1.2, 417.1, 417.8, ,0:6:57,0:6:57
Odour1.2, 436.2, 436.9, ,0:7:16,0:7:16
Odour1.3, 561.9, 562.8, ,0:9:21,0:9:22
Odour1.3, 563.6, 565.2, ,0:9:23,0:9:25
Odour1.3, 568.3, 569.6, ,0:9:28,0:9:29
Odour1.3, 580.5, 581.6, ,0:9:40,0:9:41
Odour1.3, 582.7, 583.6, ,0:9:42,0:9:43
Odour1.3, 584.4, 584.8, ,0:9:44,0:9:44
Odour1.3, 598.6, 599.1, ,0:9:58,0:9:59
Odour1.3, 599.6, 600.4, ,0:9:59,0:10:0
Odour1.3, 611.7, 612.1, ,0:10:11,0:10:12
Odour1.3, 628.5, 628.9, ,0:10:28,0:10:28
