Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,13,25.7,144.3,
Odour1.2,11,9.6,376.2,
Odour1.3,4,2.3,610.5,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,6,4.8,877.7,
Odour2.2,5,6.7,1110.0,
Odour2.3,1,1.6,1321.4,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,13,19.4,1621.0,
Odour3.2,1,0.3,1940.1,
Odour3.3,0,0.0,0.0,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
