Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,19,57.0,86.4,
Odour1.2,10,13.8,276.5,
Odour1.3,6,7.3,485.9,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,9,15.3,689.2,
Odour2.2,5,13.0,891.2,
Odour2.3,8,12.1,1089.0,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,3,4.1,1362.0,
Odour3.2,1,7.1,1582.6,
Odour3.3,4,6.1,1740.2,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
