Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,7,23.1,185.0,,,
Odour1.2,13,29.9,361.3,,,
Odour1.3,5,12.4,582.4,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,1.1 - plays with the bud
Hexample,0,0.0,0.0,,,"1.3 - reaches out, licking not counted, pulls the bud through the hopper. When bud is under the hopper - not counted"
Iexample,0,0.0,0.0,,,"2.2 - reaches out, pulled the bud through/ bites - not counted"
Odour2.1,12,24.9,784.7,,,"2.3 - reaches a lot, bites not counted"
Odour2.2,14,40.3,1002.3,,,3.3 - ignored
Odour2.3,14,20.1,1238.8,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,7,18.6,1437.5,,,
Odour3.2,2,7.3,1631.0,,,
Odour3.3,0,0.0,0.0,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
