Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,10,4.9,71.6,,,,,,,
Odour1.2,0,0.0,0.0,,,,,,,
Odour1.3,19,18.0,471.5,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,1.2 - ignored
Iexample,0,0.0,0.0,,,,,,,2.1 - plays with the bud a bit
Odour2.1,25,47.8,668.0,,,,,,,3.3 - ignored
Odour2.2,6,12.9,857.9,,,,,,,
Odour2.3,5,7.8,1058.0,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,6,9.0,1254.2,,,,,,,
Odour3.2,3,6.3,1453.4,,,,,,,
Odour3.3,0,0.0,0.0,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
