Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,12,32.5,172.0,
Odour1.2,13,28.7,361.0,
Odour1.3,11,27.0,595.4,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,6,10.2,830.4,
Odour2.2,7,11.4,1093.0,
Odour2.3,0,0.0,0.0,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,11,12.3,1536.0,
Odour3.2,0,0.0,0.0,
Odour3.3,0,0.0,0.0,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
