Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,7,17.8,133.1,,,,
Odour1.2,5,5.1,339.2,,,,
Odour1.3,0,0.0,0.0,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,1.3 - ignored
Iexample,0,0.0,0.0,,,,"2.1 - pushed the bud down, bites not counted -time with the bud under the hopper not counted"
Odour2.1,9,9.4,824.4,,,,2.2 - same as 2.1
Odour2.2,8,9.6,1025.5,,,,2.3 - very interested
Odour2.3,16,29.9,1253.4,,,,3.2 - ignore
Mexample,0,0.0,0.0,,,,3.3 - ignore
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,8,11.4,1511.7,,,,
Odour3.2,0,0.0,0.0,,,,
Odour3.3,0,0.0,0.0,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
