Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,16,19.6,87.7,
Odour1.2,3,4.6,316.4,
Odour1.3,8,8.4,514.4,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,14,31.6,719.6,
Odour2.2,17,22.1,911.0,
Odour2.3,17,19.4,1111.1,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,12,25.0,1295.2,
Odour3.2,9,12.5,1504.3,
Odour3.3,15,17.2,1702.7,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
