Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,9,8.7,84.8,
Odour1.2,0,0.0,0.0,
Odour1.3,3,2.9,506.9,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,15,21.3,717.6,
Odour2.2,18,25.4,907.5,
Odour2.3,8,6.1,1107.0,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,15,11.5,1300.9,
Odour3.2,15,14.3,1497.6,
Odour3.3,18,15.4,1698.4,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
