Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,25,43.6,106.6,
Odour1.2,22,38.7,292.8,
Odour1.3,0,0.0,0.0,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,0,0.0,0.0,
Odour2.2,0,0.0,0.0,
Odour2.3,0,0.0,0.0,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,11,12.2,1268.4,
Odour3.2,11,13.1,1458.5,
Odour3.3,12,13.9,1664.8,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
