Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Odour1.1,28,53.2,151.5,,,,,,,,,
Odour1.2,13,26.1,375.0,,,,,,,,,
Odour1.3,17,36.0,593.1,,,,,,,,,
Eexample,0,0.0,0.0,,,,,,,,,Sniffs a lot!
Fexample,0,0.0,0.0,,,,,,,,,
Gexample,0,0.0,0.0,,,,,,,,,
Hexample,0,0.0,0.0,,,,,,,,,
Iexample,0,0.0,0.0,,,,,,,,,
Odour2.1,18,38.5,830.8,,,,,,,,,
Odour2.2,5,12.3,1030.6,,,,,,,,,
Odour2.3,8,12.8,1273.1,,,,,,,,,
Mexample,0,0.0,0.0,,,,,,,,,
Nexample,0,0.0,0.0,,,,,,,,,
Oexample,0,0.0,0.0,,,,,,,,,
Pexample,0,0.0,0.0,,,,,,,,,
Qexample,0,0.0,0.0,,,,,,,,,
Odour3.1,7,11.6,1510.8,,,,,,,,,
Odour3.2,6,10.0,1732.2,,,,,,,,,
Odour3.3,8,10.9,1994.6,,,,,,,,,
Bexample,0,0.0,0.0,,,,,,,,,
Cexample,0,0.0,0.0,,,,,,,,,
Uexample,0,0.0,0.0,,,,,,,,,
Vexample,0,0.0,0.0,,,,,,,,,
Wexample,0,0.0,0.0,,,,,,,,,
Xexample,0,0.0,0.0,,,,,,,,,
Zexample,0,0.0,0.0,,,,,,,,,
Change,0,0.0,0.0,,,,,,,,,
Codes,0,0.0,0.0,,,,,,,,,
in,0,0.0,0.0,,,,,,,,,
Configfile,0,0.0,0.0,,,,,,,,,
