Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,20,29.4,108.3,,,,,
Odour1.2,6,4.2,315.2,,,,,
Odour1.3,7,4.7,530.6,,,,,"Very little interest in 2.1, ignored 2.3"
Eexample,0,0.0,0.0,,,,,"Ignored 3.2, 3.3 - sleeps?"
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,
Odour2.1,5,5.8,773.2,,,,,
Odour2.2,4,13.0,980.9,,,,,
Odour2.3,0,0.0,0.0,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,9,9.0,1422.0,,,,,
Odour3.2,0,0.0,0.0,,,,,
Odour3.3,0,0.0,0.0,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
