Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,22,33.4,104.5,,,,,,,
Odour1.2,5,8.6,257.1,,,,,,,
Odour1.3,5,3.3,504.8,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,
Gexample,0,0.0,0.0,,,,,,,"Very little interest in 2.1, 2.2 and 3.2 - ignores, clean himself, 2.3 - ignores, cleans himself, smells from far; 3.3 - ignores, smells from far, sleeps"
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,5,3.7,688.7,,,,,,,
Odour2.2,0,0.0,0.0,,,,,,,
Odour2.3,0,0.0,0.0,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,6,17.5,1305.8,,,,,,,
Odour3.2,0,0.0,0.0,,,,,,,
Odour3.3,0,0.0,0.0,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
