Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,23,26.3,70.0,,,,,
Odour1.2,3,3.8,254.9,,,,,A food pellet on the hopper - tried not to score interactions with the pellet
Odour1.3,5,7.2,459.7,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,
Odour2.1,7,7.2,680.3,,,,,
Odour2.2,5,5.2,868.4,,,,,
Odour2.3,1,0.6,1106.0,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,18,19.1,1269.2,,,,,
Odour3.2,2,3.7,1483.8,,,,,
Odour3.3,2,0.5,1652.8,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
