Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,14,14.4,87.3,
Odour1.2,4,3.0,303.0,
Odour1.3,3,2.4,503.6,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,20,22.5,708.1,
Odour2.2,10,15.6,921.8,
Odour2.3,4,9.8,1108.7,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,22,44.0,1286.9,
Odour3.2,7,20.2,1499.1,
Odour3.3,3,8.1,1675.2,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
