Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,12,28.1,218.1,,,,,,,
Odour1.2,5,7.3,437.3,,,,,,,
Odour1.3,3,5.3,746.0,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,3,8.7,900.7,,,,,,,
Odour2.2,1,2.0,1119.5,,,,,,,
Odour2.3,0,0.0,0.0,,,,,,,"1.1 - bites - not scored, 2.3 -ignored"
Mexample,0,0.0,0.0,,,,,,,"3.2 - very little attention, cleans himself"
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,11,22.1,1515.7,,,,,,,
Odour3.2,1,2.5,1724.5,,,,,,,
Odour3.3,0,0.0,0.0,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
