Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,20,29.4,111.1,,,,,,,
Odour1.2,7,9.3,321.9,,,,,,,
Odour1.3,3,2.3,528.2,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,Likes 2.3 more than 2.2?
Odour2.1,8,7.5,791.8,,,,,,,3.1 - bites or smelss? Cannot see but it is scored in.
Odour2.2,4,2.1,992.2,,,,,,,
Odour2.3,7,3.5,1201.0,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,20,31.6,1430.6,,,,,,,
Odour3.2,11,13.6,1636.8,,,,,,,
Odour3.3,5,13.5,1836.4,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
