Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,20,22.3,89.3,,,,,,,
Odour1.2,4,8.1,281.2,,,,,,,
Odour1.3,4,10.3,561.5,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,"Ignores 2.2 - clean himself, very little interest in 3.1"
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,9,14.8,660.5,,,,,,,
Odour2.2,0,0.0,0.0,,,,,,,
Odour2.3,3,7.4,1057.3,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,4,10.4,1229.6,,,,,,,
Odour3.2,5,4.0,1454.0,,,,,,,
Odour3.3,3,2.0,1616.5,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
