Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,22,23.2,281.2,
Odour1.2,13,18.4,437.3,
Odour1.3,11,12.1,634.7,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,19,27.1,861.5,
Odour2.2,7,9.5,1033.8,
Odour2.3,3,4.4,1233.8,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,21,31.1,1410.8,
Odour3.2,11,18.5,1604.7,
Odour3.3,13,11.3,1794.5,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
