Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,21,32.9,197.1,,,,,
Odour1.2,10,11.3,391.6,,,,,
Odour1.3,6,11.7,608.2,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,
Odour2.1,15,23.9,792.5,,,,,2.2 - went through the hopper bars but no chewing
Odour2.2,10,10.2,1022.9,,,,,2.3 - at 1346 - chweing the bars?
Odour2.3,12,33.2,1283.4,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,15,32.5,1480.3,,,,,
Odour3.2,6,8.4,1689.9,,,,,
Odour3.3,2,4.0,1901.8,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
