Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,16,19.5,217.2,,,,
Odour1.2,0,0.0,0.0,,,,
Odour1.3,0,0.0,0.0,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,1.1 - pushed down - chewing/ bites not counted
Iexample,0,0.0,0.0,,,,1.2 - ignored
Odour2.1,0,0.0,0.0,,,,1.3 - ignored
Odour2.2,0,0.0,0.0,,,,"2.1, 2.2, 2.3 - ignored"
Odour2.3,0,0.0,0.0,,,,"3.1, 3.2, 3.3 - ignored (asleep during 3.2 and 3.3)"
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,0,0.0,0.0,,,,
Odour3.2,0,0.0,0.0,,,,
Odour3.3,0,0.0,0.0,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
