Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,22,20.0,126.0,,,
Odour1.2,17,9.5,336.0,,,
Odour1.3,2,0.8,580.9,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,"2.1, 2.2, 2.3 - plays a bit with the bud"
Iexample,0,0.0,0.0,,,
Odour2.1,31,45.8,735.0,,,
Odour2.2,30,33.8,937.7,,,
Odour2.3,15,11.9,1137.4,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,10,7.1,1361.4,,,
Odour3.2,1,0.4,1566.5,,,
Odour3.3,3,1.4,1761.3,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
