Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,15,33.7,133.4,,,,,
Odour1.2,8,10.7,324.8,,,,,
Odour1.3,9,12.9,507.3,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,3.1 - plays with the bud a bit
Odour2.1,15,14.5,713.0,,,,,3.3 - ignored
Odour2.2,4,8.0,911.6,,,,,
Odour2.3,1,1.2,1090.6,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,14,21.1,1294.2,,,,,
Odour3.2,1,0.3,1524.3,,,,,
Odour3.3,0,0.0,0.0,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
