Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,19,32.7,134.2,,,
Odour1.2,10,25.0,309.1,,,
Odour1.3,3,4.6,606.6,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,2.2 - very little interest
Hexample,0,0.0,0.0,,,2.3 - ignored
Iexample,0,0.0,0.0,,,3.1 - ignored
Odour2.1,11,15.2,700.4,,,3.2 - ignored (sleeping?)
Odour2.2,1,1.8,905.8,,,3.3 - ignored
Odour2.3,0,0.0,0.0,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,0,0.0,0.0,,,
Odour3.2,0,0.0,0.0,,,
Odour3.3,0,0.0,0.0,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
