Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Odour1.1,17,13.4,99.4,,,,,,
Odour1.2,14,8.5,299.8,,,,,,
Odour1.3,17,13.6,492.9,,,,,,
Eexample,0,0.0,0.0,,,,,,
Fexample,0,0.0,0.0,,,,,,
Gexample,0,0.0,0.0,,,,,,
Hexample,0,0.0,0.0,,,,,,
Iexample,0,0.0,0.0,,,,,,weird timings
Odour2.1,18,19.2,665.9,,,,,,
Odour2.2,13,16.3,866.3,,,,,,
Odour2.3,14,16.1,1059.1,,,,,,
Mexample,0,0.0,0.0,,,,,,
Nexample,0,0.0,0.0,,,,,,
Oexample,0,0.0,0.0,,,,,,
Pexample,0,0.0,0.0,,,,,,
Qexample,0,0.0,0.0,,,,,,
Odour3.1,20,23.0,1300.4,,,,,,
Odour3.2,28,19.3,1463.6,,,,,,
Odour3.3,26,33.0,1658.4,,,,,,
Bexample,0,0.0,0.0,,,,,,
Cexample,0,0.0,0.0,,,,,,
Uexample,0,0.0,0.0,,,,,,
Vexample,0,0.0,0.0,,,,,,
Wexample,0,0.0,0.0,,,,,,
Xexample,0,0.0,0.0,,,,,,
Zexample,0,0.0,0.0,,,,,,
Change,0,0.0,0.0,,,,,,
Codes,0,0.0,0.0,,,,,,
in,0,0.0,0.0,,,,,,
Configfile,0,0.0,0.0,,,,,,
