Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,16,40.0,121.5,,,,,,,
Odour1.2,9,11.4,306.4,,,,,,,
Odour1.3,9,10.9,500.0,,,,,,,
Eexample,0,0.0,0.0,,,,,,,2.1 - reaches out
Fexample,0,0.0,0.0,,,,,,,Very little interest in 3.2
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,19,36.6,709.3,,,,,,,
Odour2.2,6,10.7,931.4,,,,,,,
Odour2.3,6,6.6,1109.7,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,9,16.7,1297.0,,,,,,,
Odour3.2,2,0.9,1535.4,,,,,,,
Odour3.3,3,2.2,1706.4,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
