Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,27,40.1,119.7,,,,,
Odour1.2,12,35.8,307.4,,,,,
Odour1.3,7,8.5,492.2,,,,,
Eexample,0,0.0,0.0,,,,,
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,"At 1.2 between316.9 and 334.0 possibly chews the bars but cannot tell, in this file, this behviour is included and scored as sniffing"
Odour2.1,12,16.7,717.0,,,,,"Very little interest in 2.2, ignored 2.3"
Odour2.2,2,0.8,898.9,,,,,More interested in W vs F smell?!
Odour2.3,0,0.0,0.0,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,13,21.9,1306.7,,,,,
Odour3.2,11,11.4,1502.5,,,,,
Odour3.3,2,2.0,1687.8,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
