Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,23,55.1,143.4,,,
Odour1.2,20,32.8,339.2,,,"Can reach out/grab 1.2, 2.1, 2.2. Very interested in 3.2 - not sure if the bud is not too close and he's just trying to grab it."
Odour1.3,9,16.1,538.5,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,
Odour2.1,15,35.1,809.0,,,
Odour2.2,16,47.5,989.5,,,
Odour2.3,10,14.4,1172.4,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,11,25.2,1426.0,,,
Odour3.2,19,45.5,1610.0,,,
Odour3.3,6,10.5,1786.7,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
