Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,22,36.7,73.1,,,,,
Odour1.2,13,30.2,270.2,,,,,
Odour1.3,10,15.8,501.4,,,,,
Eexample,0,0.0,0.0,,,,,"Reaches out fot 1.2, very interested in 1.2, very little interest in 2.1, nose very hard to see; ignored 2.2"
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,
Odour2.1,7,15.7,764.7,,,,,
Odour2.2,0,0.0,0.0,,,,,
Odour2.3,13,26.4,1110.8,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,12,25.0,1317.6,,,,,
Odour3.2,4,9.2,1589.6,,,,,
Odour3.3,6,6.5,1742.2,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
