Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,17,35.4,313.4,,,,
Odour1.2,16,27.6,464.9,,,,
Odour1.3,7,5.6,745.7,,,,
Eexample,0,0.0,0.0,,,,"2.1, 2,.2, 3.2 - reaches out to grab the bud a lot"
Fexample,0,0.0,0.0,,,,"3.3 - presented one bud at first, then swapped to another bud, not singl bud has 2 min of pres, here everything is scorred"
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,20,90.9,881.8,,,,
Odour2.2,5,39.2,1085.5,,,,
Odour2.3,6,11.1,1286.4,,,,
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,22,32.2,1508.6,,,,
Odour3.2,18,39.0,1708.9,,,,
Odour3.3,3,13.0,2014.0,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
