Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,18,30.5,185.2,
Odour1.2,10,12.4,347.4,
Odour1.3,6,10.7,541.9,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,11,42.4,747.6,
Odour2.2,5,10.1,942.3,
Odour2.3,7,6.8,1171.0,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,8,8.8,1345.2,
Odour3.2,8,7.2,1584.1,
Odour3.3,1,0.3,1745.2,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
