Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Odour1.1,28,22.7,157.1,,,,,,
Odour1.2,7,4.7,344.2,,,,,,2.1 - cleaning himself - ignored
Odour1.3,3,2.6,543.8,,,,,,2.2 - fell asleep - ignored
Eexample,0,0.0,0.0,,,,,,"2.3 - grabs/ licks the bud, licking not counted"
Fexample,0,0.0,0.0,,,,,,
Gexample,0,0.0,0.0,,,,,,
Hexample,0,0.0,0.0,,,,,,
Iexample,0,0.0,0.0,,,,,,
Odour2.1,0,0.0,0.0,,,,,,
Odour2.2,0,0.0,0.0,,,,,,
Odour2.3,24,29.3,1132.2,,,,,,
Mexample,0,0.0,0.0,,,,,,
Nexample,0,0.0,0.0,,,,,,
Oexample,0,0.0,0.0,,,,,,
Pexample,0,0.0,0.0,,,,,,
Qexample,0,0.0,0.0,,,,,,
Odour3.1,18,34.8,1312.7,,,,,,
Odour3.2,30,38.0,1487.3,,,,,,
Odour3.3,7,10.0,1701.4,,,,,,
Bexample,0,0.0,0.0,,,,,,
Cexample,0,0.0,0.0,,,,,,
Uexample,0,0.0,0.0,,,,,,
Vexample,0,0.0,0.0,,,,,,
Wexample,0,0.0,0.0,,,,,,
Xexample,0,0.0,0.0,,,,,,
Zexample,0,0.0,0.0,,,,,,
Change,0,0.0,0.0,,,,,,
Codes,0,0.0,0.0,,,,,,
in,0,0.0,0.0,,,,,,
Configfile,0,0.0,0.0,,,,,,
