Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,19,16.8,155.7,
Odour1.2,20,24.1,352.0,
Odour1.3,13,22.4,590.2,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,0,0.0,0.0,
Odour2.2,16,47.4,907.3,
Odour2.3,12,13.5,1117.9,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,6,7.8,1367.2,
Odour3.2,16,51.8,1522.3,
Odour3.3,3,7.0,1751.5,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
