Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,0,0.0,0.0,,,,
Odour1.2,0,0.0,0.0,,,,
Odour1.3,13,27.6,613.8,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,"Ignored 1.1, 1.2, plays with 3.3 a bit"
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,13,18.7,762.0,,,,
Odour2.2,4,9.1,1040.2,,,,
Odour2.3,12,10.9,1188.2,,,,
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,9,19.2,1421.4,,,,
Odour3.2,3,1.7,1632.8,,,,
Odour3.3,8,17.7,1881.6,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
