Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,12,13.6,139.1,,,
Odour1.2,9,8.4,322.3,,,
Odour1.3,4,3.8,514.1,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,Front 1 cm - off - moved cage at the end of 1.1
Odour2.1,12,27.9,750.8,,,
Odour2.2,6,6.9,939.3,,,
Odour2.3,2,0.5,1209.8,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,7,11.5,1315.9,,,
Odour3.2,7,7.6,1512.1,,,
Odour3.3,2,0.7,1744.6,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
