Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,22,35.5,108.7,,,,
Odour1.2,15,17.8,311.0,,,,
Odour1.3,8,8.8,527.3,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,
Gexample,0,0.0,0.0,,,,2.1 - fluff hanging from the bud -> ate the fluff
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,14,22.6,727.8,,,,
Odour2.2,11,11.6,936.4,,,,
Odour2.3,9,7.8,1122.0,,,,
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,7,10.4,1308.0,,,,
Odour3.2,4,4.5,1502.9,,,,
Odour3.3,9,6.2,1697.2,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
