Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,22,25.5,310.8,
Odour1.2,6,4.4,510.1,
Odour1.3,3,2.4,706.8,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,6,4.7,910.4,
Odour2.2,5,2.4,1141.2,
Odour2.3,5,2.6,1302.8,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,2,0.7,1508.4,
Odour3.2,4,2.9,1733.8,
Odour3.3,4,1.8,1888.2,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
