Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,33,38.8,179.5,,,,
Odour1.2,9,21.8,358.5,,,,
Odour1.3,32,58.3,564.6,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,22,21.3,776.7,,,,
Odour2.2,19,19.8,960.6,,,,Sniffs a LOT
Odour2.3,4,7.9,1266.8,,,,
Mexample,0,0.0,0.0,,,,
Nexample,0,0.0,0.0,,,,1.3 - plays with bud
Oexample,0,0.0,0.0,,,,"After 2.1 - pushed the cage back, front 1 cm is off"
Pexample,0,0.0,0.0,,,,2.3 - plays a bit
Qexample,0,0.0,0.0,,,,3.1 - plays/ chews the grids?
Odour3.1,9,40.7,1382.4,,,,3.2 - chews?
Odour3.2,8,35.1,1683.1,,,,3.3 reaches a bit
Odour3.3,20,46.8,1869.3,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
