Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Odour1.1,21,24.5,91.3,,,,,
Odour1.2,10,8.6,276.7,,,,,
Odour1.3,4,1.6,454.2,,,,,
Eexample,0,0.0,0.0,,,,,Ignored 3.3
Fexample,0,0.0,0.0,,,,,
Gexample,0,0.0,0.0,,,,,
Hexample,0,0.0,0.0,,,,,
Iexample,0,0.0,0.0,,,,,
Odour2.1,9,6.0,666.2,,,,,
Odour2.2,1,0.6,876.0,,,,,
Odour2.3,3,1.2,1035.8,,,,,
Mexample,0,0.0,0.0,,,,,
Nexample,0,0.0,0.0,,,,,
Oexample,0,0.0,0.0,,,,,
Pexample,0,0.0,0.0,,,,,
Qexample,0,0.0,0.0,,,,,
Odour3.1,11,8.7,1216.6,,,,,
Odour3.2,5,3.9,1392.5,,,,,
Odour3.3,0,0.0,0.0,,,,,
Bexample,0,0.0,0.0,,,,,
Cexample,0,0.0,0.0,,,,,
Uexample,0,0.0,0.0,,,,,
Vexample,0,0.0,0.0,,,,,
Wexample,0,0.0,0.0,,,,,
Xexample,0,0.0,0.0,,,,,
Zexample,0,0.0,0.0,,,,,
Change,0,0.0,0.0,,,,,
Codes,0,0.0,0.0,,,,,
in,0,0.0,0.0,,,,,
Configfile,0,0.0,0.0,,,,,
