Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Odour1.1,21,20.2,85.3,,,,,,,
Odour1.2,6,5.2,287.0,,,,,,,
Odour1.3,7,7.4,457.9,,,,,,,
Eexample,0,0.0,0.0,,,,,,,
Fexample,0,0.0,0.0,,,,,,,good run
Gexample,0,0.0,0.0,,,,,,,
Hexample,0,0.0,0.0,,,,,,,
Iexample,0,0.0,0.0,,,,,,,
Odour2.1,19,28.0,626.1,,,,,,,
Odour2.2,5,7.9,815.6,,,,,,,
Odour2.3,21,17.7,988.6,,,,,,,
Mexample,0,0.0,0.0,,,,,,,
Nexample,0,0.0,0.0,,,,,,,
Oexample,0,0.0,0.0,,,,,,,
Pexample,0,0.0,0.0,,,,,,,
Qexample,0,0.0,0.0,,,,,,,
Odour3.1,13,11.7,1169.7,,,,,,,
Odour3.2,4,1.7,1356.6,,,,,,,
Odour3.3,4,7.7,1572.0,,,,,,,
Bexample,0,0.0,0.0,,,,,,,
Cexample,0,0.0,0.0,,,,,,,
Uexample,0,0.0,0.0,,,,,,,
Vexample,0,0.0,0.0,,,,,,,
Wexample,0,0.0,0.0,,,,,,,
Xexample,0,0.0,0.0,,,,,,,
Zexample,0,0.0,0.0,,,,,,,
Change,0,0.0,0.0,,,,,,,
Codes,0,0.0,0.0,,,,,,,
in,0,0.0,0.0,,,,,,,
Configfile,0,0.0,0.0,,,,,,,
