Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,12,36.4,535.4,,,
Odour1.2,12,21.2,685.2,,,
Odour1.3,10,28.8,900.3,,,
Eexample,0,0.0,0.0,,,1.3 - plays with the bud a bit
Fexample,0,0.0,0.0,,,2.1 - reaches for the bud
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,
Odour2.1,15,48.0,1110.0,,,
Odour2.2,8,12.1,1310.3,,,
Odour2.3,1,0.4,1543.4,,,
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,10,20.0,1762.9,,,
Odour3.2,9,15.1,1949.2,,,
Odour3.3,2,3.6,2160.4,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
