Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6
Odour1.1,11,17.6,529.2,,,
Odour1.2,7,5.5,691.0,,,
Odour1.3,4,7.4,901.1,,,
Eexample,0,0.0,0.0,,,
Fexample,0,0.0,0.0,,,
Gexample,0,0.0,0.0,,,
Hexample,0,0.0,0.0,,,
Iexample,0,0.0,0.0,,,
Odour2.1,29,56.5,1083.7,,,
Odour2.2,4,2.9,1273.2,,,2.1 - reaches for the bud
Odour2.3,9,10.5,1467.7,,,2.2 - digs a lot - first 4 shorts stiff could be from the digging
Mexample,0,0.0,0.0,,,
Nexample,0,0.0,0.0,,,
Oexample,0,0.0,0.0,,,
Pexample,0,0.0,0.0,,,
Qexample,0,0.0,0.0,,,
Odour3.1,22,43.4,1656.5,,,
Odour3.2,11,11.1,1851.8,,,
Odour3.3,10,8.1,2019.9,,,
Bexample,0,0.0,0.0,,,
Cexample,0,0.0,0.0,,,
Uexample,0,0.0,0.0,,,
Vexample,0,0.0,0.0,,,
Wexample,0,0.0,0.0,,,
Xexample,0,0.0,0.0,,,
Zexample,0,0.0,0.0,,,
Change,0,0.0,0.0,,,
Codes,0,0.0,0.0,,,
in,0,0.0,0.0,,,
Configfile,0,0.0,0.0,,,
