Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type
Odour1.1,9,11.1,518.3,
Odour1.2,5,3.9,686.6,
Odour1.3,6,4.0,914.3,
Eexample,0,0.0,0.0,
Fexample,0,0.0,0.0,
Gexample,0,0.0,0.0,
Hexample,0,0.0,0.0,
Iexample,0,0.0,0.0,
Odour2.1,10,38.4,1075.6,
Odour2.2,10,9.3,1260.6,
Odour2.3,8,4.3,1454.1,
Mexample,0,0.0,0.0,
Nexample,0,0.0,0.0,
Oexample,0,0.0,0.0,
Pexample,0,0.0,0.0,
Qexample,0,0.0,0.0,
Odour3.1,20,41.2,1632.0,
Odour3.2,11,15.0,1829.2,
Odour3.3,6,2.6,2038.3,
Bexample,0,0.0,0.0,
Cexample,0,0.0,0.0,
Uexample,0,0.0,0.0,
Vexample,0,0.0,0.0,
Wexample,0,0.0,0.0,
Xexample,0,0.0,0.0,
Zexample,0,0.0,0.0,
Change,0,0.0,0.0,
Codes,0,0.0,0.0,
in,0,0.0,0.0,
Configfile,0,0.0,0.0,
