Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Odour1.1,10,15.7,151.9,,,,,,
Odour1.2,7,13.2,335.6,,,,,,
Odour1.3,3,2.2,558.5,,,,,,
Eexample,0,0.0,0.0,,,,,,
Fexample,0,0.0,0.0,,,,,,
Gexample,0,0.0,0.0,,,,,,
Hexample,0,0.0,0.0,,,,,,2.3 - walks a bit weird
Iexample,0,0.0,0.0,,,,,,3.1 - a bit shaky/stereotypic behaviour
Odour2.1,10,42.4,745.2,,,,,,
Odour2.2,8,12.2,920.7,,,,,,
Odour2.3,7,7.8,1113.2,,,,,,
Mexample,0,0.0,0.0,,,,,,
Nexample,0,0.0,0.0,,,,,,
Oexample,0,0.0,0.0,,,,,,
Pexample,0,0.0,0.0,,,,,,
Qexample,0,0.0,0.0,,,,,,
Odour3.1,13,19.5,1297.2,,,,,,
Odour3.2,11,26.8,1484.3,,,,,,
Odour3.3,3,4.8,1696.3,,,,,,
Bexample,0,0.0,0.0,,,,,,
Cexample,0,0.0,0.0,,,,,,
Uexample,0,0.0,0.0,,,,,,
Vexample,0,0.0,0.0,,,,,,
Wexample,0,0.0,0.0,,,,,,
Xexample,0,0.0,0.0,,,,,,
Zexample,0,0.0,0.0,,,,,,
Change,0,0.0,0.0,,,,,,
Codes,0,0.0,0.0,,,,,,
in,0,0.0,0.0,,,,,,
Configfile,0,0.0,0.0,,,,,,
