Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Odour1.1,23,23.6,92.3,,,,,,
Odour1.2,18,13.7,274.8,,,,,,
Odour1.3,5,8.9,476.8,,,,,,
Eexample,0,0.0,0.0,,,,,,
Fexample,0,0.0,0.0,,,,,,
Gexample,0,0.0,0.0,,,,,,
Hexample,0,0.0,0.0,,,,,,2.2 - plays with the bud
Iexample,0,0.0,0.0,,,,,,2.2 - plays with the bud
Odour2.1,10,45.1,662.3,,,,,,3.3 - sniffs a LOT
Odour2.2,20,76.9,825.6,,,,,,
Odour2.3,7,19.4,1029.8,,,,,,
Mexample,0,0.0,0.0,,,,,,
Nexample,0,0.0,0.0,,,,,,
Oexample,0,0.0,0.0,,,,,,
Pexample,0,0.0,0.0,,,,,,
Qexample,0,0.0,0.0,,,,,,
Odour3.1,15,56.6,1205.5,,,,,,
Odour3.2,18,25.8,1374.6,,,,,,
Odour3.3,15,56.5,1569.4,,,,,,
Bexample,0,0.0,0.0,,,,,,
Cexample,0,0.0,0.0,,,,,,
Uexample,0,0.0,0.0,,,,,,
Vexample,0,0.0,0.0,,,,,,
Wexample,0,0.0,0.0,,,,,,
Xexample,0,0.0,0.0,,,,,,
Zexample,0,0.0,0.0,,,,,,
Change,0,0.0,0.0,,,,,,
Codes,0,0.0,0.0,,,,,,
in,0,0.0,0.0,,,,,,
Configfile,0,0.0,0.0,,,,,,
