Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),Type,Unnamed: 5,Unnamed: 6,Unnamed: 7
Odour1.1,13,44.1,84.0,,,,
Odour1.2,12,28.9,284.7,,,,
Odour1.3,4,13.4,488.4,,,,
Eexample,0,0.0,0.0,,,,
Fexample,0,0.0,0.0,,,,
Gexample,0,0.0,0.0,,,,
Hexample,0,0.0,0.0,,,,
Iexample,0,0.0,0.0,,,,
Odour2.1,17,41.2,664.7,,,,1.2 - plays with the bud a bit
Odour2.2,29,53.5,863.1,,,,1.3 - weird breathing
Odour2.3,17,29.3,1084.2,,,,"2.1 - plays with the bud, pulls it from the straw"
Mexample,0,0.0,0.0,,,,"2.2 - plays with the bud a lot, pulls it from the straw"
Nexample,0,0.0,0.0,,,,
Oexample,0,0.0,0.0,,,,
Pexample,0,0.0,0.0,,,,
Qexample,0,0.0,0.0,,,,
Odour3.1,23,23.3,1271.7,,,,
Odour3.2,10,5.8,1509.5,,,,
Odour3.3,4,2.4,1673.6,,,,
Bexample,0,0.0,0.0,,,,
Cexample,0,0.0,0.0,,,,
Uexample,0,0.0,0.0,,,,
Vexample,0,0.0,0.0,,,,
Wexample,0,0.0,0.0,,,,
Xexample,0,0.0,0.0,,,,
Zexample,0,0.0,0.0,,,,
Change,0,0.0,0.0,,,,
Codes,0,0.0,0.0,,,,
in,0,0.0,0.0,,,,
Configfile,0,0.0,0.0,,,,
