Behavior_x,Total Duration(s)_x,Type_x,filename
Odour1.1,7.5,,1639648004702_000000_20211216NFWTDP4311a
Odour2.1,4,,1639648004702_000000_20211216NFWTDP4311a
Odour3.1,19.4,,1639648004702_000000_20211216NFWTDP4311a
Odour1.2,21.3,,1639648004702_000000_20211216NFWTDP4311a
Odour2.2,0,,1639648004702_000000_20211216NFWTDP4311a
Odour3.2,11.8,,1639648004702_000000_20211216NFWTDP4311a
Odour1.3,1.1,,1639648004702_000000_20211216NFWTDP4311a
Odour2.3,0,,1639648004702_000000_20211216NFWTDP4311a
Odour3.3,0,,1639648004702_000000_20211216NFWTDP4311a
Odour1.1,25.7,,1639654701381_000000_20211216FNWTDP4321b
Odour2.1,4.8,,1639654701381_000000_20211216FNWTDP4321b
Odour3.1,19.4,,1639654701381_000000_20211216FNWTDP4321b
Odour1.2,9.6,,1639654701381_000000_20211216FNWTDP4321b
Odour2.2,6.7,,1639654701381_000000_20211216FNWTDP4321b
Odour3.2,0.3,,1639654701381_000000_20211216FNWTDP4321b
Odour1.3,2.3,,1639654701381_000000_20211216FNWTDP4321b
Odour2.3,1.6,,1639654701381_000000_20211216FNWTDP4321b
Odour3.3,0,,1639654701381_000000_20211216FNWTDP4321b
Odour1.1,14.8,,1639654878289_000000_20211216NFWTDP4322d
Odour2.1,5.1,,1639654878289_000000_20211216NFWTDP4322d
Odour3.1,4.6,,1639654878289_000000_20211216NFWTDP4322d
Odour1.2,5.5,,1639654878289_000000_20211216NFWTDP4322d
Odour2.2,1.6,,1639654878289_000000_20211216NFWTDP4322d
Odour3.2,6.2,,1639654878289_000000_20211216NFWTDP4322d
Odour1.3,12.7,,1639654878289_000000_20211216NFWTDP4322d
Odour2.3,0,,1639654878289_000000_20211216NFWTDP4322d
Odour3.3,2.6,,1639654878289_000000_20211216NFWTDP4322d
Odour1.1,19,,1639654911074_000000_20211216NFWTDP4332a
Odour2.1,19.7,,1639654911074_000000_20211216NFWTDP4332a
Odour3.1,9.4,,1639654911074_000000_20211216NFWTDP4332a
Odour1.2,5.3,,1639654911074_000000_20211216NFWTDP4332a
Odour2.2,2.5,,1639654911074_000000_20211216NFWTDP4332a
Odour3.2,3.4,,1639654911074_000000_20211216NFWTDP4332a
Odour1.3,1.2,,1639654911074_000000_20211216NFWTDP4332a
Odour2.3,5.5,,1639654911074_000000_20211216NFWTDP4332a
Odour3.3,0.7,,1639654911074_000000_20211216NFWTDP4332a
Odour1.1,57,,1639654945839_000000_20211216NFWTDP4361c
Odour2.1,15.3,,1639654945839_000000_20211216NFWTDP4361c
Odour3.1,4.1,,1639654945839_000000_20211216NFWTDP4361c
