Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),
Odour1.1,25,23.6,96.4
Bexample,0,0,0
Cexample,0,0,0
Odour1.3,8,4.1,507.6
Eexample,0,0,0
Fexample,0,0,0
Gexample,0,0,0
Hexample,0,0,0
Iexample,0,0,0
Odour2.1,21,35.3,734.0
Odour2.2,10,9.1,938.7
Odour2.3,5,4.0,1120.7
Mexample,0,0,0
Nexample,0,0,0
Oexample,0,0,0
Pexample,0,0,0
Qexample,0,0,0
Odour3.1,11,18.2,1317.5
Odour1.2,5,3.3,344.8
Odour3.2,11,12.1,1522.0
Uexample,0,0,0
Vexample,0,0,0
Wexample,0,0,0
Xexample,0,0,0
Odour3.3,10,10.2,1714.6
Zexample,0,0,0
Change,0,0,0
Codes,0,0,0
in,0,0,0
Configfile,0,0,0
