Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,,
Odour1.1,20,23.5,108.5,,,,,,,,
Odour1.2,10,11.6,338.4,,,,,,,,
Odour1.3,6,5.7,626.4,,,,,,,,
Eexample,0,0,0,,,,,,,,The mouse freezes a lot!
Fexample,0,0,0,,,,,,,,
Gexample,0,0,0,,,,,,,,
Hexample,0,0,0,,,,,,,,
Iexample,0,0,0,,,,,,,,
Odour2.1,8,43.4,792.6,,,,,,,,
Odour2.2,8,12.7,989.3,,,,,,,,
Odour2.3,5,7.3,1179.2,,,,,,,,
Mexample,0,0,0,,,,,,,,
Nexample,0,0,0,,,,,,,,
Oexample,0,0,0,,,,,,,,
Pexample,0,0,0,,,,,,,,
Qexample,0,0,0,,,,,,,,
Odour3.1,8,9.3,1340,,,,,,,,
Odour3.2,8,9.1,1536.2,,,,,,,,
Odour3.3,5,4.6,1723.5,,,,,,,,
Bexample,0,0,0,,,,,,,,
Cexample,0,0,0,,,,,,,,
Uexample,0,0,0,,,,,,,,
Vexample,0,0,0,,,,,,,,
Wexample,0,0,0,,,,,,,,
Xexample,0,0,0,,,,,,,,
Zexample,0,0,0,,,,,,,,
Change,0,0,0,,,,,,,,
Codes,0,0,0,,,,,,,,
in,0,0,0,,,,,,,,
Configfile,0,0,0,,,,,,,,
