Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,,
Odour1.1,18,24.4,110.6,,,,,,,,
Odour1.2,14,19.1,294,,,,,,,,
Odour1.3,20,24.1,486.8,,,,,,,,A lot of interest in 1.3
Eexample,0,0,0,,,,,,,,
Fexample,0,0,0,,,,,,,,
Gexample,0,0,0,,,,,,,,
Hexample,0,0,0,,,,,,,,
Iexample,0,0,0,,,,,,,,
Odour2.1,12,15.4,676.5,,,,,,,,
Odour2.2,5,6.2,869.8,,,,,,,,
Odour2.3,2,1.1,1121.8,,,,,,,,
Mexample,0,0,0,,,,,,,,
Nexample,0,0,0,,,,,,,,
Oexample,0,0,0,,,,,,,,
Pexample,0,0,0,,,,,,,,
Qexample,0,0,0,,,,,,,,
Odour3.1,16,27.5,1259.6,,,,,,,,
Odour3.2,4,4.2,1452.9,,,,,,,,
Odour3.3,3,4.1,1683.2,,,,,,,,
Bexample,0,0,0,,,,,,,,
Cexample,0,0,0,,,,,,,,
Uexample,0,0,0,,,,,,,,
Vexample,0,0,0,,,,,,,,
Wexample,0,0,0,,,,,,,,
Xexample,0,0,0,,,,,,,,
Zexample,0,0,0,,,,,,,,
Change,0,0,0,,,,,,,,
Codes,0,0,0,,,,,,,,
in,0,0,0,,,,,,,,
Configfile,0,0,0,,,,,,,,
