Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,,,
Odour1.1,16,28.5,106.8,,,,,,,,
Odour1.2,9,11.5,274.4,,,,,,,,"Very little interest in 2.2 (asleep?), ignored 2.3, ignored 3.2 and 3.3 (sleeping?) - sniffs from far (corner)"
Odour1.3,6,3.6,477.4,,,,,,,,
Eexample,0,0,0,,,,,,,,
Fexample,0,0,0,,,,,,,,
Gexample,0,0,0,,,,,,,,
Hexample,0,0,0,,,,,,,,
Iexample,0,0,0,,,,,,,,
Odour2.1,5,14.3,662.7,,,,,,,,
Odour2.2,1,1.4,863.1,,,,,,,,
Odour2.3,0,0,0,,,,,,,,
Mexample,0,0,0,,,,,,,,
Nexample,0,0,0,,,,,,,,
Oexample,0,0,0,,,,,,,,
Pexample,0,0,0,,,,,,,,
Qexample,0,0,0,,,,,,,,
Odour3.1,7,14.2,1264.2,,,,,,,,
Odour3.2,0,0,0,,,,,,,,
Odour3.3,0,0,0,,,,,,,,
Bexample,0,0,0,,,,,,,,
Cexample,0,0,0,,,,,,,,
Uexample,0,0,0,,,,,,,,
Vexample,0,0,0,,,,,,,,
Wexample,0,0,0,,,,,,,,
Xexample,0,0,0,,,,,,,,
Zexample,0,0,0,,,,,,,,
Change,0,0,0,,,,,,,,
Codes,0,0,0,,,,,,,,
in,0,0,0,,,,,,,,
Configfile,0,0,0,,,,,,,,
