Behavior,Number of Occurrences,Total Duration(s),Time to First Onset(s),,,,,,
Odour1.1,17,20.2,72.4,,,,,,
Odour1.2,9,14.9,289,,,,,,
Odour1.3,4,3.1,487,,,,,,
Eexample,0,0,0,,,,,,
Fexample,0,0,0,,,,,,
Gexample,0,0,0,,,,,,
Hexample,0,0,0,,,,,,"In 1.2 - the bud moved - got scared and froze, ignored 3.3 - asleep?"
Iexample,0,0,0,,,,,,
Odour2.1,17,26.4,668.8,,,,,,
Odour2.2,10,19.2,855,,,,,,
Odour2.3,10,19.2,1041.9,,,,,,
Mexample,0,0,0,,,,,,
Nexample,0,0,0,,,,,,
Oexample,0,0,0,,,,,,
Pexample,0,0,0,,,,,,
Qexample,0,0,0,,,,,,
Odour3.1,13,30.9,1247.9,,,,,,
Odour3.2,5,10.5,1443.2,,,,,,
Odour3.3,0,0,0,,,,,,
Bexample,0,0,0,,,,,,
Cexample,0,0,0,,,,,,
Uexample,0,0,0,,,,,,
Vexample,0,0,0,,,,,,
Wexample,0,0,0,,,,,,
Xexample,0,0,0,,,,,,
Zexample,0,0,0,,,,,,
Change,0,0,0,,,,,,
Codes,0,0,0,,,,,,
in,0,0,0,,,,,,
Configfile,0,0,0,,,,,,
